1,1001001001,Juan,Perez,3001111111
2,1001001002,Laura,Garcia,3001111112
3,1001001003,Miguel,Rodriguez,3001111113
4,1001001004,Camila,Sanchez,3001111114
5,1001001005,Daniel,Lopez,3001111115
6,1001001006,Valentina,Morales,3001111116
7,1001001007,Sebastian,Diaz,3001111117
8,1001001008,Isabella,Ruiz,3001111118
9,1001001009,Nicolas,Vargas,3001111119
10,1001001010,Mariana,Jimenez,3001111120
11,1001001011,Samuel,Hernandez,3001111121
12,1001001012,Luciana,Castillo,3001111122
13,1001001013,David,Ortiz,3001111123
14,1001001014,Gabriela,Medina,3001111124
15,1001001015,Mateo,Rojas,3001111125
16,1001001016,Antonella,Romero,3001111126
17,1001001017,Emiliano,Navarro,3001111127
18,1001001018,Sara,Delgado,3001111128
19,1001001019,Tomas,Acosta,3001111129
20,1001001020,Paula,Fuentes,3001111130
21,13245678,Pepito,Ramirez,324389744
